iter	Passed	Remaining
413	2766	3915
414	2767	3901
415	2775	3896
416	2777	3883
417	2779	3869
418	2781	3856
419	2783	3843
420	2789	3836
421	2791	3823
422	2793	3809
423	2794	3796
424	2796	3782
425	2797	3769
426	2798	3755
427	2804	3747
428	2807	3737
429	2809	3724
430	2811	3711
431	2813	3699
432	2817	3689
433	2820	3678
434	2821	3665
435	2823	3652
436	2824	3639
437	2826	3626
438	2827	3613
439	2828	3600
440	2835	3594
441	2837	3582
442	2839	3570
443	2841	3558
444	2843	3545
445	2844	3533
446	2847	3522
447	2850	3512
448	2851	3499
449	2853	3487
450	2854	3474
451	2855	3461
452	2856	3449
453	2858	3437
454	2863	3430
455	2865	3418
456	2866	3405
457	2867	3393
458	2869	3381
459	2870	3369
460	2872	3358
461	2873	3346
462	2877	3337
463	2879	3326
464	2881	3314
465	2882	3302
466	2883	3291
467	2884	3279
468	2886	3268
469	2887	3256
470	2890	3246
471	2893	3236
472	2895	3225
473	2896	3214
474	2897	3203
475	2899	3191
476	2900	3180
477	2902	3169
478	2903	3158
479	2907	3149
480	2908	3138
481	2910	3127
482	2911	3116
483	2913	3105
484	2914	3094
485	2915	3083
486	2916	3072
487	2920	3064
488	2922	3054
489	2923	3043
490	2925	3032
491	2926	3021
492	2928	3011
493	2929	3001
494	2932	2991
495	2936	2983
496	2937	2973
497	2938	2962
498	2940	2952
499	2942	2942
500	2943	2931
501	2944	2921
502	2946	2911
503	2947	2900
504	2949	2890
505	2952	2882
506	2953	2872
507	2955	2862
508	2956	2852
509	2958	2842
510	2959	2832
511	2961	2822
512	2963	2813
513	2966	2804
514	2970	2797
515	2971	2787
516	2972	2777
517	2974	2767
518	2975	2757
519	2976	2747
520	2977	2737
521	2979	2728
522	2983	2721
523	2984	2711
524	2986	2701
525	2987	2691
526	2989	2682
527	2990	2673
528	2991	2663
529	2993	2654
530	2997	2647
531	2999	2638
532	3000	2629
533	3001	2619
534	3004	2611
535	3005	2601
536	3006	2592
537	3008	2583
538	3012	2576
539	3016	2569
540	3019	2562
541	3021	2553
542	3023	2544
543	3030	2540
544	3035	2534
545	3037	2526
546	3039	2517
547	3046	2512
548	3049	2505
549	3052	2497
550	3054	2489
551	3056	2480
552	3062	2475
553	3064	2467
554	3066	2459
555	3068	2450
556	3074	2445
557	3077	2438
558	3081	2430
559	3082	2422
560	3084	2413
561	3090	2408
562	3092	2400
563	3095	2393
564	3097	2384
565	3098	2376
566	3104	2371
567	3108	2363
568	3110	2355
569	3111	2347
570	3112	2338
571	3113	2330
572	3118	2323
573	3120	2315
574	3123	2308
575	3126	2301
576	3128	2293
577	3130	2285
578	3137	2281
579	3141	2275
580	3144	2267
581	3145	2259
582	3149	2252
583	3153	2246
584	3155	2238
585	3163	2235
586	3166	2228
587	3169	2220
588	3170	2212
589	3177	2207
590	3180	2201
591	3183	2194
592	3185	2186
593	3186	2177
594	3187	2169
595	3189	2161
596	3190	2153
597	3192	2146
598	3193	2138
599	3194	2129
600	3196	2121
601	3197	2113
602	3198	2105
603	3203	2100
604	3206	2093
605	3211	2087
606	3213	2080
607	3214	2072
608	3221	2068
609	3224	2061
610	3226	2054
611	3228	2046
612	3230	2039
613	3237	2035
614	3242	2029
615	3245	2022
616	3249	2017
617	3253	2010
618	3254	2003
619	3256	1996
620	3258	1988
621	3262	1982
622	3264	1975
623	3266	1968
624	3267	1960
625	3269	1953
626	3270	1945
627	3271	1938
628	3276	1932
629	3280	1926
630	3284	1920
631	3286	1913
632	3288	1906
633	3293	1901
634	3300	1896
635	3302	1889
636	3307	1885
637	3314	1880
638	3316	1873
639	3318	1866
640	3325	1862
641	3331	1857
642	3333	1850
643	3338	1845
644	3344	1840
645	3347	1834
646	3349	1827
647	3360	1825
648	3362	1818
649	3365	1812
650	3370	1807
651	3376	1802
652	3378	1795
653	3379	1788
654	3383	1781
655	3385	1775
656	3388	1768
657	3392	1763
658	3394	1756
659	3396	1749
660	3402	1745
661	3406	1739
662	3408	1732
663	3410	1725
664	3420	1722
665	3423	1716
666	3425	1709
667	3434	1706
668	3437	1700
669	3439	1693
670	3440	1687
671	3446	1681
672	3451	1677
673	3453	1670
674	3456	1664
675	3465	1661
676	3467	1654
677	3469	1647
678	3479	1644
679	3483	1639
680	3484	1632
681	3498	1631
682	3500	1624
683	3502	1618
684	3507	1612
685	3509	1606
686	3512	1600
687	3518	1595
688	3524	1591
689	3526	1584
690	3528	1577
691	3534	1573
692	3537	1567
693	3539	1560
694	3542	1554
695	3544	1548
696	3547	1542
697	3550	1536
698	3553	1530
699	3555	1523
700	3559	1518
701	3563	1512
702	3565	1506
703	3566	1499
704	3572	1494
705	3576	1489
706	3579	1483
707	3581	1476
708	3585	1471
709	3593	1467
710	3595	1461
711	3597	1454
712	3608	1452
713	3610	1446
714	3612	1439
715	3622	1436
716	3625	1431
717	3630	1425
718	3631	1419
719	3643	1416
720	3647	1411
721	3653	1406
722	3655	1400
723	3656	1394
724	3659	1388
725	3676	1387
726	3679	1381
727	3690	1378
728	3696	1373
729	3711	1372
730	3717	1367
731	3723	1363
732	3735	1360
733	3741	1355
734	3752	1353
735	3756	1347
736	3758	1341
737	3767	1337
738	3788	1337
739	3790	1331
740	3814	1333
741	3823	1329
742	3826	1323
743	3839	1321
744	3847	1316
745	3852	1311
746	3854	1305
747	3872	1304
748	3880	1300
749	3884	1294
750	3886	1288
751	3890	1282
752	3897	1278
753	3902	1273
754	3904	1267
755	3917	1264
756	3919	1258
757	3922	1252
758	3931	1248
759	3933	1242
760	3936	1236
761	3944	1231
762	3945	1225
763	3947	1219
764	3949	1213
765	3951	1206
766	3952	1200
767	3960	1196
768	3963	1190
769	3966	1184
770	3969	1179
771	3971	1173
772	3974	1167
773	3976	1161
774	3978	1154
775	3980	1148
776	3987	1144
777	3990	1138
778	3993	1132
779	3994	1126
780	3996	1120
781	4001	1115
782	4006	1110
783	4008	1104
784	4025	1102
785	4028	1096
786	4033	1091
787	4042	1087
788	4050	1083
789	4054	1077
790	4058	1072
791	4064	1067
792	4067	1061
793	4069	1055
794	4071	1049
795	4075	1044
796	4077	1038
797	4080	1032
798	4081	1026
799	4083	1020
800	4093	1017
801	4109	1014
802	4111	1008
803	4118	1004
804	4120	998
805	4121	992
806	4127	987
807	4136	982
808	4138	977
809	4141	971
810	4143	965
811	4154	961
812	4157	956
813	4158	950
814	4165	945
815	4169	940
816	4171	934
817	4172	928
818	4179	923
819	4182	918
820	4184	912
821	4186	906
822	4190	901
823	4197	896
824	4202	891
825	4212	887
826	4214	881
827	4216	875
828	4218	870
829	4224	865
830	4226	859
831	4231	854
832	4243	850
833	4245	844
834	4247	839
835	4249	833
836	4255	828
837	4257	823
838	4259	817
839	4261	811
840	4263	806
841	4270	801
842	4273	795
843	4275	790
844	4277	784
845	4279	778
846	4287	774
847	4291	769
848	4295	763
849	4297	758
850	4303	753
851	4308	748
852	4312	743
853	4317	738
854	4325	733
855	4327	728
856	4336	723
857	4340	718
858	4349	713
859	4351	708
860	4355	703
861	4360	698
862	4364	692
863	4369	687
864	4371	682
865	4377	677
866	4383	672
867	4397	668
868	4400	663
869	4402	657
870	4409	653
871	4414	648
872	4419	642
873	4424	637
874	4435	633
875	4445	629
876	4450	624
877	4458	619
878	4463	614
879	4466	609
880	4473	604
881	4478	599
882	4490	595
883	4493	589
884	4495	584
885	4505	579
886	4508	574
887	4512	569
888	4522	564
889	4524	559
890	4527	553
891	4529	548
892	4535	543
893	4538	538
894	4541	532
895	4548	527
896	4550	522
897	4555	517
898	4556	511
899	4567	507
900	4569	502
901	4571	496
902	4573	491
903	4579	486
904	4581	480
905	4583	475
906	4585	470
907	4591	465
908	4593	459
909	4595	454
910	4597	449
911	4601	443
912	4610	439
913	4612	434
914	4626	429
915	4629	424
916	4632	419
917	4638	414
918	4641	409
919	4643	403
920	4646	398
921	4651	393
922	4655	388
923	4658	383
924	4661	377
925	4672	373
926	4675	368
927	4693	364
928	4705	359
929	4708	354
930	4709	349
931	4716	344
932	4720	338
933	4722	333
934	4732	328
935	4735	323
936	4737	318
937	4742	313
938	4749	308
939	4753	303
940	4760	298
941	4766	293
942	4768	288
943	4780	283
944	4781	278
945	4783	273
946	4789	268
947	4792	262
948	4795	257
949	4796	252
950	4799	247
951	4800	242
952	4806	237
953	4809	231
954	4813	226
955	4814	221
956	4815	216
957	4821	211
958	4824	206
959	4826	201
960	4828	195
961	4830	190
962	4831	185
963	4842	180
964	4844	175
965	4845	170
966	4847	165
967	4854	160
968	4858	155
969	4860	150
970	4861	145
971	4863	140
972	4866	135
973	4868	129
974	4871	124
975	4873	119
976	4879	114
977	4882	109
978	4884	104
979	4886	99
980	4888	94
981	4892	89
982	4896	84
983	4898	79
984	4900	74
985	4901	69
986	4903	64
987	4904	59
988	4909	54
989	4910	49
990	4912	44
991	4918	39
992	4921	34
993	4924	29
994	4926	24
995	4927	19
996	4933	14
997	4938	9
998	4939	4
999	4941	0
